kic,label,period,t0,duration,transit_depth,snr,filename,index_in_batch
2860114,1,0.9416034,132.97522,1.1171,611.0,61.7,batch_0.npz,0
6209798,1,1.2054161,131.934,1.1735,108.0,42.5,batch_0.npz,1
4861527,1,25.70558,156.6662,5.967,295.0,31.1,batch_0.npz,2
12459725,1,14.17987,171.4993,2.5588,621.0,15.2,batch_0.npz,3
3327993,1,2.115547,134.0992,3.9907,346.0,28.5,batch_0.npz,4
8625821,1,45.39692,136.9389,3.2731,1339.0,47.4,batch_0.npz,5
8180020,1,5.80312836,136.10045,4.9901,67130.0,3440.5,batch_0.npz,6
5358624,1,3.52563247,170.047268,2.5986,22473.0,2405.5,batch_0.npz,7
5024482,1,1.5259258,132.6941,2.354,391.0,21.7,batch_0.npz,8
11909839,1,10.4059559,177.19808,6.4079,14610.0,847.4,batch_0.npz,9
8556077,1,3.6357082,134.6103,2.2964,72.0,41.8,batch_0.npz,10
5992270,1,58.42991,168.3011,5.6488,1937.0,52.2,batch_0.npz,11
5021176,1,4.0450494,172.6824,2.2018,741.0,66.2,batch_0.npz,12
9692345,1,0.6878956,133.66325,2.4988,593.0,74.4,batch_0.npz,13
11709423,1,0.38446929,131.7366,0.9291,780.0,87.3,batch_0.npz,14
2441151,1,2.1920104,171.67034,2.2045,1503.0,176.4,batch_0.npz,15
3231341,1,18.99835,144.7456,3.8953,445.0,22.9,batch_0.npz,16
2437505,1,17.55078,133.952,3.7335,4421.0,11.3,batch_0.npz,17
4365442,1,1.7144088,131.8653,3.5671,65.0,31.8,batch_0.npz,18
8161561,1,3.275783,170.2555,2.9924,270.0,69.2,batch_0.npz,19
7382313,1,7.42716,133.094,3.4818,196.0,17.9,batch_0.npz,20
8046659,1,31.569127,158.29838,2.6788,4376.0,166.9,batch_0.npz,21
7461307,1,0.7735942,132.0919,1.5704,67.0,17.3,batch_0.npz,22
9156585,1,22.324224,134.4474,2.9079,1232.0,34.6,batch_0.npz,23
5812701,1,17.855149,146.59692,7.4066,9155.0,1173.1,batch_0.npz,24
11923284,1,2.758006,131.875,2.0383,212.0,61.4,batch_0.npz,25
6442340,1,23.44194,152.03,6.2338,99.0,16.5,batch_0.npz,26
8687088,1,0.9050391,132.2144,1.4134,33.0,23.1,batch_0.npz,27
4861791,1,5.62955,136.858,4.5055,299.0,12.1,batch_0.npz,28
5356593,1,45.9778722,240.59676,7.3575,24652.0,3462.9,batch_0.npz,29
8256049,1,16.371917,172.7611,2.9247,8288.0,229.8,batch_0.npz,30
4840513,1,2.37928191,133.65076,3.2246,52183.0,1759.3,batch_0.npz,31
5608566,1,4.3969343,172.02738,1.91,4668.0,463.1,batch_0.npz,32
7629518,1,15.5949,137.5577,5.0799,828.0,53.3,batch_0.npz,33
9640985,1,2.1781502,171.23127,2.4795,513.0,144.8,batch_0.npz,34
3937519,1,5.89686,134.006,3.3743,96.0,13.9,batch_0.npz,35
7097534,1,2.213936,132.5683,4.746,84.0,19.7,batch_0.npz,36
5288570,1,1.728532,131.8081,3.6514,254.0,28.1,batch_0.npz,37
9728465,1,7.353871,132.0203,2.1253,112.0,20.8,batch_0.npz,38
6205468,1,3.7228769,179.2962,10.2221,2846.0,407.2,batch_0.npz,39
6525193,1,1.710273,131.6219,2.4106,259.0,22.8,batch_0.npz,40
4815520,1,31.57868,177.20528,2.1223,2152.0,467.0,batch_0.npz,41
5640511,1,0.636244,131.96884,4.0,11.0,120.8,batch_0.npz,42
3542588,1,3.471412,133.7443,3.7219,114.0,34.3,batch_0.npz,43
7440748,1,7.064271,135.3776,1.3895,687.0,66.3,batch_0.npz,44
8378634,1,3.6294411,134.70075,4.5661,793.0,357.9,batch_0.npz,45
7257363,1,5.233516,133.1159,4.3747,427.0,26.1,batch_0.npz,46
5513866,1,0.755112,131.8073,3.1794,207.0,76.8,batch_0.npz,47
6470917,1,1.5060072,133.0255,2.7705,164.0,23.0,batch_0.npz,48
9899505,1,1.3325576,132.0534,4.2845,1006.0,118.1,batch_0.npz,49
10004738,1,13.93078,134.4261,2.1785,168.0,18.5,batch_1.npz,0
5024450,1,1.5259252,355.47847,3.7472,21409.0,588.9,batch_1.npz,1
8652999,1,15.160311,136.5515,6.0321,328.0,51.3,batch_1.npz,2
11752908,1,6.383203,132.2986,1.7238,984.0,22.6,batch_1.npz,3
11804465,1,4.43796291,171.008355,4.6714,16465.0,4570.5,batch_1.npz,4
9592579,1,2.6375741,134.21231,4.2809,5647.0,830.9,batch_1.npz,5
7047922,1,19.76191,135.1714,3.7104,368.0,38.3,batch_1.npz,6
4743513,1,2.08607713,170.96441,1.9185,5417.0,607.1,batch_1.npz,7
9119568,1,5.548297,133.9587,4.4866,62.0,19.8,batch_1.npz,8
8127607,1,16.609626,147.6127,2.9336,772.0,36.7,batch_1.npz,9
7369865,1,42.26276,152.3073,4.9786,685.0,58.9,batch_1.npz,10
4144231,1,22.913343,140.6493,3.229,5334.0,141.0,batch_1.npz,11
10341917,1,0.9337306,131.5278,4.9447,542.0,77.3,batch_1.npz,12
3328052,1,2.115486,132.01,3.7592,329.0,25.5,batch_1.npz,13
9899352,1,1.33256,132.0503,4.2224,235.0,28.6,batch_1.npz,14
2446113,1,6.717274,170.996,2.4261,290.0,56.1,batch_1.npz,15
11074178,1,9.18186,132.4076,3.4757,357.0,18.3,batch_1.npz,16
5524881,1,7.195425,136.037,4.0944,229.0,15.6,batch_1.npz,17
10880007,1,86.7988,199.895,2.9921,201.0,2.9,batch_1.npz,18
10383687,1,8.487855,176.9321,2.9984,271.0,44.6,batch_1.npz,19
3964562,1,3.0124773,135.2582,2.4685,1653.0,608.2,batch_1.npz,20
5181817,1,4.3504333,171.4313,1.7895,223.0,58.8,batch_1.npz,21
10268907,1,1.1039682,354.5823,0.9771,313.0,22.4,batch_1.npz,22
6960445,1,5.0743732,171.56478,4.1916,1015.0,194.3,batch_1.npz,23
9842906,1,4.9887,358.2252,8.3797,343.0,49.5,batch_1.npz,24
8180063,1,5.79506,172.6976,3.1661,1778.0,129.3,batch_1.npz,25
5702939,1,18.39902,144.8759,3.8671,125.0,14.0,batch_1.npz,26
7115785,1,0.566869,131.7516,3.4199,26.0,16.8,batch_1.npz,27
10747445,1,4.5935997,134.88812,2.5577,47245.0,681.8,batch_1.npz,28
3248033,1,1.3341094,133.69905,2.1315,369.0,222.1,batch_1.npz,29
5282049,1,5.9103688,360.28462,3.9793,19077.0,1263.4,batch_1.npz,30
10965740,1,21.787736,136.6943,4.0771,497.0,49.6,batch_1.npz,31
10616415,1,1.1206414,131.5923,2.0874,248.0,43.7,batch_1.npz,32
8505670,1,10.848507,171.8036,2.9606,1651.0,116.1,batch_1.npz,33
8197560,1,1.0242555,131.4917,1.8297,1894.0,41.7,batch_1.npz,34
9777256,1,1.332499,132.0925,4.3796,147.0,21.6,batch_1.npz,35
10686814,1,2.618399,134.0389,3.8911,277.0,21.0,batch_1.npz,36
6032517,1,1.7914047,132.99472,2.1473,337.0,71.3,batch_1.npz,37
5478055,1,15.852281,174.2297,3.9194,975.0,52.9,batch_1.npz,38
9025922,1,11.320258,177.08525,3.3119,6277.0,232.2,batch_1.npz,39
5124254,1,14.04978,140.5054,2.8757,480.0,14.3,batch_1.npz,40
7051984,1,0.3390709,131.86678,1.1581,42.0,45.4,batch_1.npz,41
3832474,1,60.322921,243.90628,7.0755,19997.0,299.7,batch_1.npz,42
8323753,1,6.714263,134.3146,2.8502,417.0,81.6,batch_1.npz,43
10213902,1,59.62217,138.1383,6.5098,1069.0,34.8,batch_1.npz,44
10480921,1,2.0374475,133.5948,3.5708,130.0,32.7,batch_1.npz,45
6387969,1,135.908,199.7497,1.8329,25.0,1.9,batch_1.npz,46
11495766,1,4.175069,134.1584,4.2508,41.0,6.2,batch_1.npz,47
10487119,1,3.37468528,131.76909,3.8253,78800.0,2731.5,batch_1.npz,48
6066403,1,1.3038632,134.21028,2.9007,503.0,142.8,batch_1.npz,49
5271608,1,2.490473,133.4414,2.0628,304.0,26.6,batch_2.npz,0
7385509,1,1.6554664,169.54768,3.3687,1736.0,225.3,batch_2.npz,1
8258171,1,23.627228,173.6509,8.2496,151.0,70.0,batch_2.npz,2
3337432,1,2.976023,132.9753,3.8188,93.0,26.6,batch_2.npz,3
11188249,1,2.755038,133.4253,3.4449,83.0,27.4,batch_2.npz,4
5283542,1,5.975807,174.7759,2.7555,870.0,52.4,batch_2.npz,5
9110357,1,0.8952779,133.41059,2.8125,1354.0,693.1,batch_2.npz,6
8046689,1,5.785382,137.0941,2.2309,297.0,16.1,batch_2.npz,7
8179973,1,2.497052,135.3073,3.7852,44.0,6.3,batch_2.npz,8
11392017,1,2.4557139,133.0291,2.36,289.0,32.6,batch_2.npz,9
11705004,1,9.033401,137.1703,2.6562,791.0,24.0,batch_2.npz,10
8162790,1,10.161102,141.5127,3.117,1048.0,43.1,batch_2.npz,11
6862328,1,119.02088,222.2359,8.0568,6555.0,247.5,batch_2.npz,12
11044770,1,15.608584,144.3011,4.6975,293.0,52.6,batch_2.npz,13
7107561,1,0.8125887,131.5606,1.2209,56.0,22.9,batch_2.npz,14
4677282,1,1.5721774,131.7763,4.1196,330.0,109.6,batch_2.npz,15
