kic,label,is_synthetic,period,radius,star_radius,planet_star_ratio,bls_period,bls_power,snr,sigma
6435936,1,False,56.05628,2.18,0.503,0.0397614314115308,10.099019803960793 d,0.0071501125149168,0.7307193191755578,0.002921888148207
2854914,1,False,83.4421,3.1,1.13,0.0251684663473248,83.44988997799561 d,2.286790674775544e-05,2.063035117667283,0.0002220206330176
10984090,1,False,51.07931,2.86,0.991,0.0264768235217878,153.2090418083617 d,1.890339238821063e-06,2.2978085069046834,0.0001130777155408
6678383,1,False,51.75627,2.36,0.93,0.0232810496202032,23.667733546709343 d,3.5123224047718545e-05,3.4027377176950133,0.0001121915609897
9471974,1,False,190.3134,3.4,0.94,0.0331836814366582,3.7935587117423486 d,8.575599363372576e-07,0.7177918928473878,0.0001271203501557
2854698,1,False,76.0503,1.69,0.9,0.0172273190621814,19.198039607921586 d,0.0104489747558062,0.901414891114666,0.0039397245196205
10797460,1,False,54.41759,3.1,0.99,0.0287276434065424,367.5947189437888 d,9.928228593552504e-05,1.998091489344856,0.0007123976432095
11018648,1,False,91.7743,2.6,0.83,0.0287388084447883,65.25185037007402 d,9.735757522420552e-05,2.9498325084853634,0.000387533615958
1871056,1,False,140.0914,3.74,2.43,0.0141201344055574,81.61412282456492 d,2.1193681974812504e-05,1.732495610763332,0.0001932858944919
5956342,1,False,67.8299,2.51,1.07,0.0215210494726914,19.836567313462695 d,3.8881890764134975e-05,1.764077283640764,0.0007141230286869
5436502,1,False,50.4454,2.0,0.9,0.0203873598369011,17.44208841768354 d,4.995983856440505e-05,3.6474251340442696,0.0007076092395317
12470844,1,False,60.41916,2.4,0.751,0.0293187065563957,10.498099619923986 d,1.7718400291810646e-05,1.075094928174888,0.0006436719434661
3640905,1,False,51.0802,2.21,1.83,0.0110793603048077,13.770554110822165 d,5.42221652000283e-07,1.214975835945905,0.0001237129510003
10810838,1,False,56.35387,1.94,0.627,0.0283862282896565,169.09241848369675 d,7.042943346844212e-06,1.6476671939318106,0.0002191849460538
6960913,1,False,59.87769,2.33,0.545,0.0392222876862217,268.7825565113023 d,0.0001685761689322,2.8639979200722454,0.0006953939799299
5438757,1,False,62.9147,1.98,0.85,0.0213707501349163,62.9371874374875 d,1.786212781222271e-05,1.018931930062126,0.0002649954287431
12400538,1,False,150.2413,3.97,0.81,0.0449654547513874,26.940188037607523 d,2.887519043505831e-05,4.052208483446095,0.0005201324732963
5183357,1,False,61.039,2.23,1.1,0.0185988323603002,3.554110822164433 d,9.595337264174335e-07,0.4476193046644599,0.0002091289968695
5526717,1,False,52.06986,2.18,0.85,0.0235294117647058,382.121224244849 d,2.2185568343749323e-05,2.5523576955087277,0.0003054550499108
11669125,1,False,70.6985,2.22,1.18,0.0172601461670035,141.39627925585117 d,6.332723711851425e-06,1.9989318189089136,0.0001625255573583
11497958,1,False,63.33828,1.61,0.5,0.0295412844036697,8.502700540108023 d,4.034515824600688e-05,0.9303134514731282,0.0009803824805945
6803855,1,False,71.45245,2.8,1.47,0.0174748798602009,268.4632926585317 d,2.621972592275547e-06,1.094899219345619,0.0001941895837987
10604335,1,False,92.7388,2.09,0.566,0.033876876195416,8.58251650330066 d,9.126702529961943e-05,1.2057371686302094,0.0011261641537625
11176127,1,False,77.4814,2.55,0.635,0.0368417250595969,10.498099619923986 d,8.629918143818333e-06,1.0759700355690012,0.0006182809357885
6541920,1,False,118.37815,3.38,1.06,0.0292539380301194,13.052210442088418 d,5.5985435783099575e-06,3.0389353935318826,0.0002402820976865
10724369,1,False,55.63765,2.7,0.9,0.0275229357798165,27.81816363272655 d,4.229414962600662e-05,1.0084300399473904,0.0003701817691642
10027323,1,False,105.3531,3.09,0.642,0.0441567349738489,23.188837767553512 d,4.937279088417167e-06,2.027453692050515,0.0004142322187612
8692861,1,False,242.4677,1.74,0.9,0.0177370030581039,13.770554110822165 d,2.3452325981096208e-06,2.800134017038507,0.0001774403317744
4455231,1,False,56.6344,2.87,1.15,0.0228958915037893,56.63172634526906 d,3.0666582571919295e-05,1.0315623430749552,0.000442770363013
10004738,1,False,56.4744,3.3,0.9,0.0336391437308868,56.47209441888378 d,9.157280492059648e-05,2.702956715450568,0.0003315826070157
8394721,1,False,81.0632,3.0,1.1,0.0250208507089241,29.973194638927787 d,7.125792983512027e-06,2.7229148789353563,0.0002772857357723
9225395,1,False,81.317,2.2,0.81,0.0249178842451013,10.418283656731347 d,3.1436328860364177e-06,0.7654953760519856,0.0003782315096126
10004738,1,False,92.8756,2.5,0.9,0.0254841997961264,56.47209441888378 d,9.157280492059648e-05,2.702956715450568,0.0003315826070157
3867615,1,False,62.7847,2.22,1.12,0.0181847968545216,6.188037607521505 d,2.3499019627280307e-07,2.154511403740604,0.0001590966653726
10709622,1,False,51.3292,3.4,1.13,0.0276041243809369,25.663132626525307 d,4.073285549823921e-05,0.7150221887568908,0.0004166261892416
10010440,1,False,53.59923,2.8,1.08,0.0237852531430513,2.755951190238048 d,3.1429338589279986e-05,0.8540494983659037,0.0005432605275144
9661979,1,False,69.8941,2.1,0.84,0.0229357798165137,280.0366073214643 d,2.4542412258987395e-05,2.2474592551202046,0.000359957446764
12121570,1,False,91.5021,1.85,0.701,0.0242118075095865,325.6115223044609 d,2.0357770476302183e-05,1.7272992390771071,0.0003851399850922
9650808,1,False,125.5963,3.1,0.96,0.0296253822629969,125.59271854370876 d,4.1388777117640486e-05,1.7873473792242316,0.0004227302498213
5978559,1,False,95.6091,2.21,1.05,0.019309742245522,21.83196639327866 d,1.5639491684037971e-06,1.1295375037907949,0.0002858676634305
5124667,1,False,150.8811,3.5,1.39,0.0231007854267045,2.915583116623325 d,1.394548190113609e-07,0.6748234920860425,9.223066072882528e-05
6468138,1,False,134.2519,2.59,0.94,0.0252781573296896,134.29265853170637 d,5.748669490016491e-06,1.7501629357515542,0.0001551164605827
11769890,1,False,122.8767,2.8,0.82,0.0313269187737748,22.151230246049213 d,0.0016696282730344,0.9822238454898166,0.001621143772076
11601584,1,False,51.80403,2.5,0.75,0.0305810397553516,25.90258051610322 d,2.7792523230993327e-05,1.1691949404723931,0.0002749165728748
10253547,1,False,59.9802,2.2,1.17,0.0172508429389163,59.98399679935988 d,7.657479427701323e-06,1.208218241643603,0.0001810662635338
9205938,1,False,108.593,1.89,0.99,0.0175145954962468,108.59191838367674 d,7.940284824415577e-06,1.6140397025197553,0.0001791191520237
4370527,1,False,61.61929,3.2,0.8,0.036697247706422,10.178835767153432 d,0.0018230095721897,0.6205712788886651,0.0019495345523881
9886255,1,False,105.9577,3.74,0.73,0.0470026391856227,9.620124024804962 d,8.652405333513859e-06,0.707232987996465,0.0005941661122464
11774991,1,False,53.5782,1.08,0.654,0.015150239878798,3.554110822164433 d,7.057714771879539e-05,1.3138855444123114,0.001044140359774
12154526,1,False,56.18944,2.2,0.93,0.0217026733747657,168.53370674134828 d,4.794634645518001e-06,1.4971453293526722,0.0001672180221327
7107561,1,True,119.6061664787094,1.0206245975682735,0.98,0.0095546208347526,302.14562912582517 d,1.2438618155271316e-05,1.849865923909458,0.0002421307631323
9025922,1,True,185.06395377588697,3.937451182070937,0.893,0.04045174170224,184.89597919583917 d,0.000351746766641,2.321714468771342,0.0008180953821798
8223328,1,True,70.16170165559075,2.9327232993548966,1.34,0.020078894285601,7.305461092218444 d,0.0116306081196765,0.4966623290965419,0.0045465015971787
3342463,1,True,119.78772976789004,3.153617269632216,1.14,0.0253791829199437,3.075215043008602 d,1.2859719698274326e-07,0.7218218708564705,0.0001170979957704
10068024,1,True,130.1090414478375,3.4865585623613766,1.09,0.0293456658729179,6.188037607521505 d,8.387076015178862e-07,0.7945490997881183,0.0001475773243667
10748393,1,True,91.32895169900382,1.0448746988794064,0.88,0.0108931891042473,263.4348869773955 d,0.0019420152319113,2.950916149928841,0.0024386743639224
6364162,1,True,117.30853547888636,1.0757090803540783,1.07,0.0092232622854675,26.221844368873775 d,2.3014674715625032e-05,0.5076060302772257,0.0003904153097121
8176650,1,True,232.21886434641823,2.3662914470767,0.76,0.028564599795711,346.60312062412487 d,0.0001916384036578,1.8499085117983447,0.0009581336744467
3964562,1,True,196.99731883066312,2.471318919533698,1.95,0.0116270003271404,23.667733546709343 d,2.5839206960813114e-06,0.5512472457317765,0.0001248520794936
5271608,1,True,174.98480612942387,1.2698332673209929,1.03,0.0113105305720227,215.62512502500502 d,6.439466338509903e-06,0.7458820263746384,0.0004187770071883
5021176,1,True,269.11646486698703,2.3416708212042625,0.97,0.0221476479826374,268.54310862172434 d,2.3145270070827457e-05,1.9880190219556035,0.0003439600404518
8672910,1,True,145.72666813319728,3.756785974217907,0.83,0.0415252124927369,17.44208841768354 d,0.0056248526191765,0.7803625053946829,0.0031297044910374
9692557,1,True,137.2097819214366,2.005670423564367,0.9,0.0204451623197183,137.16603320664134 d,3.115495916912316e-05,1.59742413721538,0.0003169970435846
3747262,1,True,277.3446360637025,2.0953429788187723,1.28,0.0150182266257079,278.04120824164835 d,7.360722952873082e-06,2.302771709607529,0.0001496282187162
8495415,1,True,242.6248150237204,1.8003928347075258,0.84,0.0196635303048004,44.340068013602725 d,2.5593988087820816e-05,1.2218254768888477,0.0007101013636294
9973855,1,True,138.86065956572892,1.5169335767602474,0.861,0.0161635561035306,9.6999399879976 d,1.0420853654801325e-06,2.501979619260449,0.0001154018774384
7436215,1,True,102.71998083140792,3.331380298556841,0.7,0.0436616028644409,102.76535307061413 d,0.0007132661229081,3.931409260987648,0.0005438952213627
3337425,1,True,231.3856618606486,1.911521146752248,1.03,0.0170261080141823,15.845769153830767 d,3.95012911907858e-06,1.1024563800063152,0.00036799219704
10485069,1,True,272.900257363459,1.998914308774566,0.99,0.0185239024073261,273.0128025605121 d,1.397848256475343e-05,1.0951467001066455,0.0004389146009469
11913012,1,True,295.462567598596,3.074294666023417,0.97,0.0290768435261838,296.07961592318463 d,6.398647620023833e-05,2.914505179156131,0.0003499787757298
8180020,1,True,269.23981815919603,3.296073316649234,0.81,0.0373323515307422,29.015403080616124 d,0.059334857233652,4.050446466162006,0.0090662087825549
9640985,1,True,186.25113517204755,3.0399773347930834,1.29,0.021619922728064,186.25285057011405 d,3.136041166985244e-05,2.7059452372407216,0.0002085229014284
9635510,1,True,296.00465316717373,2.371621630627806,1.0,0.0217579966112642,296.1594318863773 d,2.029286633505701e-05,1.3462862983813826,0.0004337862568756
5443775,1,True,77.24303010440082,1.127706410610278,1.07,0.0096690938061414,26.461292258451692 d,4.73427392700584e-06,2.096317419705399,0.0001249525440448
9162741,1,True,206.705452329224,1.5047519095087465,1.172,0.0117790643259287,126.47069413882778 d,5.359687222732532e-06,1.1108036366176526,0.0001814034174986
